Economy Class_2020/4/24_18:40to20:55_BeiJingToShangHai_nanfanghang_570_100
Economy Class_2020/4/24_19:00to21:20_BeiJingToShangHai_nanfanghang_690_80
Economy Class_2020/4/24_19:50to22:15_BeiJingToShangHai_dongfangghang_790_100
Economy Class_2020/4/25_06:30to11:20_HangZhouToChengDu_changlonghang_332_100
Economy Class_2020/4/25_14:20to19:25_HangZhouToChengDu_changlonghang_350_80
Economy Class_2020/4/25_16:35to20:00_HangZhouToChengDu_sichuanhang_960_120
Economy Class_2020/4/26_12:20to15:15_HangZhouToShenYang_chunqiuhang_740_160
Economy Class_2020/4/26_13:15to15:55_HangZhouToShenYang_hebeihang_1050_140
Economy Class_2020/4/26_20:30to23:15_HangZhouToShenYang_nanfanghang_1180_100
Economy Class_2020/4/27_15:30to17:35_BeiJingToShangHai_lianhang_1220_80
Business Class_2020/4/24_18:40to20:55_BeiJingToShangHai_nanfanghang_1610_30_Hamburger
Business Class_2020/4/25_06:30to11:20_HangZhouToChengDu_changlonghang_999_20_rice
Business Class_2020/4/26_12:20to15:15_HangZhouToShenYang_chunqiuhang_2153_20_noodle
Business Class_2020/4/27_15:30to17:35_BeiJingToShangHai_nanfanghang_2330_20_many snacks
First Class_2020/4/24_18:40to20:55_BeiJingToShangHai_nanfanghang_2430_10_everything_3_ "You can take a bath"
First Class_2020/4/25_06:30to11:20_HangZhouToChengDu_changlonghang_2209_10_everything_5_ "You can sleep on your back"
First Class_2020/4/27_15:30to17:35_HangZhouToShenYang_nanfanghang_3300_10_everything_7_ "You can sleep on your back"
